Gain (dB),Corrected Phase (radians)
9.5,1.0326126270852245
9.254237288135593,1.0326126270852245
9.008474576271187,1.0151107181515766
8.76271186440678,1.0326126270852245
8.516949152542374,0.9976088092179286
8.271186440677965,0.9976088092179286
8.025423728813559,0.9976088092179286
7.779661016949152,0.9976088092179286
7.533898305084746,0.9626049913506328
7.288135593220339,0.9626049913506328
7.0423728813559325,0.945103082416985
6.796610169491525,0.945103082416985
6.5508474576271185,0.945103082416985
6.305084745762712,0.9276011734833371
6.0593220338983045,0.9276011734833371
5.813559322033898,0.9100992645496891
5.567796610169491,0.9276011734833371
5.322033898305085,0.9100992645496891
5.076271186440678,0.8925973556160414
4.830508474576271,0.8750954466823936
4.584745762711864,0.8575935377487457
4.338983050847458,0.8575935377487457
4.09322033898305,0.8400916288150978
3.8474576271186436,0.8400916288150978
3.601694915254237,0.8400916288150978
3.3559322033898304,0.8400916288150978
3.110169491525424,0.8225897198814499
2.8644067796610164,0.805087810947802
2.61864406779661,0.7875859020141542
2.3728813559322033,0.7875859020141542
2.127118644067796,0.7700839930805063
1.8813559322033893,0.7700839930805063
1.6355932203389827,0.7525820841468585
1.3898305084745761,0.7350801752132106
1.1440677966101696,0.7525820841468585
0.898305084745763,0.7350801752132106
0.6525423728813564,0.7350801752132106
0.40677966101694807,0.7175782662795627
0.1610169491525415,0.7000763573459148
-0.08474576271186507,0.7000763573459148
-0.33050847457627164,0.7175782662795627
-0.5762711864406782,0.682574448412267
-0.8220338983050848,0.682574448412267
-1.0677966101694913,0.682574448412267
-1.3135593220338997,0.6650725394786191
-1.5593220338983063,0.682574448412267
-1.8050847457627128,0.6475706305449712
-2.0508474576271194,0.6475706305449712
-2.296610169491526,0.6300687216113233
-2.5423728813559325,0.6475706305449712
-2.788135593220339,0.6125668126776754
-3.0338983050847457,0.6300687216113233
-3.2796610169491522,0.6125668126776754
-3.5254237288135606,0.6125668126776754
-3.771186440677967,0.5950649037440277
-4.016949152542374,0.6125668126776754
-4.26271186440678,0.5775629948103798
-4.508474576271187,0.5775629948103798
-4.754237288135593,0.5600610858767319
-5.0,0.5775629948103798
