frequency_GHz,S_dB
5.975,-39.8932963188343
5.97511011011011,-39.92224913198453
5.975220220220221,-39.65703393098606
5.97533033033033,-39.30494259060899
5.97544044044044,-39.10359671378262
5.97555055055055,-39.15306140142269
5.975660660660661,-39.382200464744926
5.9757707707707715,-39.574761910018964
5.975880880880881,-39.512120402621505
5.975990990990991,-39.176335936001635
5.976101101101101,-38.7847151642092
5.976211211211211,-38.55387861423796
5.976321321321321,-38.56714068825468
5.976431431431432,-38.70728750204688
5.9765415415415415,-39.003569880017665
5.976651651651651,-38.93313142065571
5.976761761761762,-38.579926788780995
5.976871871871872,-38.23450614279757
5.976981981981982,-38.04343072033129
5.977092092092093,-38.09321542868892
5.977202202202202,-38.323715217481606
5.977312312312312,-38.54998616089068
5.977422422422422,-38.57202740584822
5.977532532532533,-38.358747309391404
5.977642642642643,-38.07931788901952
5.977752752752752,-37.93668752209017
5.977862862862863,-38.04338750197792
5.977972972972973,-38.3170869839539
5.978083083083083,-38.607436141972244
5.978193193193193,-38.693976900276866
5.978303303303304,-38.52809064586279
5.9784134134134135,-38.247796476533836
5.978523523523523,-38.10093450864227
5.978633633633634,-38.20428523750029
5.978743743743744,-38.48726301679574
5.978853853853854,-38.75158725065718
5.978963963963963,-38.791181912409655
5.979074074074074,-38.562194581513836
5.979184184184184,-38.220747667694255
5.979294294294294,-38.015458867610846
5.979404404404405,-38.04237325833812
5.9795145145145145,-38.2496704259856
5.979624624624624,-38.444328189608555
5.979734734734735,-38.41453260539146
5.979844844844845,-38.124071844021955
5.979954954954955,-37.75661146641686
5.980065065065065,-37.45316139469041
5.980175175175175,-37.464523734571614
5.980285285285285,-37.62983918466999
5.980395395395395,-37.80104979090939
5.980505505505506,-37.78280238882891
5.980615615615616,-37.528932211396466
5.980725725725726,-37.18935921798288
5.980835835835835,-36.962834884501234
5.980945945945946,-36.957855986068026
5.981056056056056,-37.14225550637492
5.981166166166166,-37.36167971080762
5.981276276276277,-37.444358678865186
5.981386386386386,-37.275300808524236
5.981496496496496,-36.99044325906756
5.981606606606607,-36.81649798910934
5.981716716716717,-36.840711912423544
5.981826826826827,-37.071006937915584
5.981936936936937,-37.35876575550623
5.982047047047047,-37.50250293411068
5.982157157157157,-37.39537993673669
5.982267267267267,-37.14075395970244
5.982377377377378,-36.979380425115195
5.982487487487488,-36.961337241405005
5.982597597597597,-37.17305089319777
5.982707707707707,-37.457774832671305
5.982817817817818,-37.59494850868373
5.982927927927928,-37.46615374820372
5.983038038038038,-37.16061517468637
5.983148148148149,-36.897277847928194
5.983258258258258,-36.82256666960717
5.983368368368368,-36.96092090561737
5.983478478478478,-37.17508425666088
5.983588588588589,-37.2579513307366
5.983698698698699,-37.084947626351564
5.983808808808809,-36.737338289819974
5.983918918918919,-36.420346986848415
5.984029029029029,-36.28310858933146
5.984139139139139,-36.362756653474406
5.98424924924925,-36.54017578909402
